webtitle,sectionname,publisheddate,webLinks
The Guardian view on India’s G20 summit: a backsliding democracy gets to play host | Editorial,Opinion,2023-09-06T17:25:03Z,https://www.theguardian.com/commentisfree/2023/sep/06/the-guardian-view-on-indias-g20-summit-a-backsliding-democracy-gets-to-play-host
"In newly gleaming Delhi, Modi hopes G20 will cement India as a major global player",World news,2023-09-05T23:12:07Z,https://www.theguardian.com/world/2023/sep/06/in-newly-gleaming-delhi-modi-hopes-g20-will-cement-india-as-a-major-global-player
The Guardian view on Russian history: the past is a work in progress | Editorial,Opinion,2023-09-03T17:25:18Z,https://www.theguardian.com/commentisfree/2023/sep/03/the-guardian-view-on-russian-history-the-past-is-a-work-in-progress
Rishi Sunak rules out quick-fix trade deal with India,Politics,2023-09-03T14:00:15Z,https://www.theguardian.com/politics/2023/sep/03/rishi-sunak-rules-out-quick-fix-trade-deal-with-india
Modi’s unifying message for the G20 summit looks dated as globalisation falls apart,Business,2023-09-02T23:05:17Z,https://www.theguardian.com/business/2023/sep/03/modis-unifying-message-for-the-g20-summit-looks-dated-as-globalisation-falls-apart
Rahul Gandhi demands Modi investigation into Adani Group,World news,2023-08-31T17:58:12Z,https://www.theguardian.com/world/2023/aug/31/rahul-gandhi-demands-narendra-modi-investigation-adani-group
" Modi-linked Adani family secretly invested in own shares, documents suggest",World news,2023-08-30T23:01:28Z,https://www.theguardian.com/world/2023/aug/31/modi-linked-adani-family-secretly-invested-in-own-shares-documents-suggest-india
Putin defends invasion of Ukraine in Brics summit address,World news,2023-08-23T14:37:35Z,https://www.theguardian.com/world/2023/aug/23/putin-defend-russian-invasion-ukraine-brics-summit-south-africa
India lands spacecraft near south pole of moon in historic first,Science,2023-08-23T13:50:15Z,https://www.theguardian.com/science/2023/aug/23/india-chandrayaan-3-moon-landing-mission
Manipur conflict drags ‘messiah of the poor’ Narendra Modi down to earth,World news,2023-08-10T18:00:42Z,https://www.theguardian.com/world/2023/aug/10/manipur-conflict-narendra-modi-opposition-india
Indian opposition walks out as Narendra Modi refuses to discuss Manipur conflict,World news,2023-08-10T17:24:45Z,https://www.theguardian.com/world/2023/aug/10/indian-opposition-walks-out-as-narendra-modi-refuses-to-discuss-manipur-conflict
Rahul Gandhi returns to parliament after Indian court suspends defamation conviction,World news,2023-08-07T05:47:56Z,https://www.theguardian.com/world/2023/aug/07/rahul-gandhi-returns-to-parliament-after-indian-court-suspends-defamation-conviction
"Australian government spent $42,000 on Sydney-themed Quad merchandise for event that didn’t go ahead",Australia news,2023-08-06T15:00:15Z,https://www.theguardian.com/australia-news/2023/aug/07/australian-government-spent-42000-on-sydney-themed-quad-merchandise-for-event-that-didnt-go-ahead
India’s supreme court suspends Rahul Gandhi’s two-year defamation jail term,World news,2023-08-04T14:50:21Z,https://www.theguardian.com/world/2023/aug/04/rahul-gandhi-wins-supreme-court-appeal-against-defamation-conviction
Manipur: why is there conflict and how is the government responding?,World news,2023-07-21T17:27:27Z,https://www.theguardian.com/world/2023/jul/21/manipur-india-why-is-there-conflict-and-how-is-the-government-responding
Modi speaks out after video of sexual assault on women in Manipur emerges,World news,2023-07-20T13:14:06Z,https://www.theguardian.com/world/2023/jul/20/modi-speaks-out-after-video-of-sexual-assault-on-women-in-manipur-emerges
While We Watched review – nerve-jangling portrait of an Indian reporter holding​ the ruling party to account,Film,2023-07-16T10:00:07Z,https://www.theguardian.com/film/2023/jul/16/while-we-watched-review-ravish-kumar-nerve-shredding-life-as-a-journalist-in-india-modi
"‘Resistance is possible’: Ravish Kumar, the broadcaster risking his life to tell the truth about India​ today​",Media,2023-07-02T09:00:38Z,https://www.theguardian.com/media/2023/jul/02/journalist-ravish-kumar-india-while-we-watched-modi
Opposition leader Rahul Gandhi begins two-day visit to unrest-hit Manipur,World news,2023-06-29T15:11:09Z,https://www.theguardian.com/world/2023/jun/29/opposition-leader-rahul-gandhi-begins-two-day-visit-to-unrest-hit-manipur
"Amid the battle of the giants, a new global order struggles to take shape | Simon Tisdall",Opinion,2023-06-25T06:00:29Z,https://www.theguardian.com/commentisfree/2023/jun/25/new-global-order-struggles-to-take-shape-china-us-poverty-climate-migration
Modi’s US visit prompts condemnation and protest from Muslim leaders,World news,2023-06-22T19:11:03Z,https://www.theguardian.com/world/2023/jun/22/modi-us-visit-human-rights-protest-muslim-leaders
Biden announces raft of new deals with Modi amid calls to address human rights concerns,US news,2023-06-22T18:16:16Z,https://www.theguardian.com/us-news/2023/jun/22/joe-biden-narendra-modi-visit-washington
Modi’s visit focuses attention on caste discrimination in US,US news,2023-06-22T15:55:56Z,https://www.theguardian.com/us-news/2023/jun/22/caste-discrimination-us-modi-visit-hindu
India secretly works to preserve reputation on global Democracy Index,World news,2023-06-22T13:23:25Z,https://www.theguardian.com/world/2023/jun/22/india-democracy-index-flawed-preserve-reputation-narendra-modi
